,I0,I1,I2,I3,I4,I5,I6,I7,I8,O0,O1,O2,O3,O4,O5,O6
25,-18.821196,-25.251455,27.999999999999996,209.0,94.0,519.0,209.0,88.0,509.0,-91.678119,23.736174,62.77351099999999,91.52472800000001,-0.8319459999999999,0.0,-3.8061330000000013
26,7.244877999999998,-12.874821,27.999999999999996,242.00000000000003,130.0,500.00000000000006,243.0,130.0,523.0,-90.643565,24.435817,46.401864,87.494915,-0.8016499999999962,0.0,-5.291271999999999
27,-19.822905,24.381146,27.999999999999996,75.0,6.0,335.0,82.0,11.0,616.0,-90.643565,24.435817,46.401864,87.494915,-0.8016499999999962,0.0,-5.291271999999999
28,-2.0531829999999998,20.501672000000003,29.0,11.0,164.0,596.0,11.0,169.0,708.0,-88.714294,23.906670000000002,58.7839,93.36263000000002,-0.2797700000000048,0.0,-5.202114000000001
29,-16.910453,-13.017446,29.0,164.0,98.0,511.00000000000006,165.0,96.0,523.0,-88.714294,23.906670000000002,58.7839,93.36263000000002,-0.2797700000000048,0.0,-5.202114000000001
30,-13.313976,-13.587105999999999,18.0,274.0,25.0,267.0,278.0,30.0,293.0,-95.0,24.243873,50.893353000000005,66.489806,-71.49616999999999,-20.672117,0.8084829999999987
31,-16.132317999999998,21.393681,29.0,12.0,54.0,588.0,12.0,53.0,677.0,-95.0,23.774062,61.88694699999999,89.68031500000001,0.40576400000000695,-6.795978999999999,0.9229089999999986
32,0.7394629999999999,7.125469999999997,18.0,167.0,130.0,169.0,167.0,129.0,180.0,-91.817026,24.371326999999997,47.91093,65.452112,-0.24792900000000467,0.0,0.47265300000000066
33,-17.962546,-18.294614000000003,18.0,312.0,70.0,223.0,312.0,71.0,209.0,-77.713712,24.907314000000003,35.368839,77.111197,-0.8807689999999987,0.0,-4.462551
34,6.577687999999998,2.248932999999999,18.0,58.99999999999999,167.0,263.0,60.0,172.0,287.0,-95.0,23.164993,76.139142,79.132441,-82.187115,-20.810369,-1.176477999999999
35,-12.587703,-10.772468000000002,29.0,142.0,74.0,500.00000000000006,144.0,66.0,508.0,-95.0,23.607143,65.79283000000001,93.412298,68.938589,-9.226977999999999,4.068818
