,I1,u1,I2,u2,u3,I3,O1,O2,O3,O4,O5,O6,O7,x1,x2,x3,y1,y2,y3,u12,u13,u14
532,4.56067,0,-1.585415,0,0,28,-94.566522,24.305466,49.452087,87.631032,-0.570099,0,-4.927215,-0.186784,0.008769,0.358938,-0.186785,0.008774,0.358935,0.000001,-0.000005,0.000003
533,1.449143,0,1.526111,0,0,28,-94.118877,24.152482,53.031907,86.790109,-0.732325,0,-3.9597,-0.193956,-0.001546,0.349056,-0.193956,-0.001543,0.349054,0,-0.000003,0.000002
534,-2.614878,0,5.590133,0,0,28,-94.0643,23.929811,58.242405,85.674887,0.134153,-0.000002,-3.061326,-0.201735,-0.015159,0.335441,-0.201734,-0.015154,0.335437,-0.000001,-0.000005,0.000004
535,-11.849782,0,14.825037,0,0,28,-95,23.185509,75.659073,86.537425,56.981499,-10.291223,5.26511,-0.212096,-0.045424,0.303804,-0.211915,-0.044826,0.303388,-0.000181,-0.000598,0.000416
536,-5.087169,0,8.062423,0,0,28,-94.916901,23.645313,64.899698,84.414878,-0.427565,-0.0646,-1.893174,-0.208031,-0.030059,0.320015,-0.208031,-0.030057,0.320014,0,-0.000001,0.000001
537,0.840704,0,2.13455,0,0,28,-94.031293,24.006301,56.452544,85.917816,-0.726135,0,-3.567496,-0.199333,-0.010588,0.340074,-0.199333,-0.010586,0.340074,0,-0.000001,0
538,12.003876,0,-9.028621,0,0,28,-95,24.491936,45.088691,92.136493,0.210619,-6.905332,0.389383,-0.17183,0.02656,0.374811,-0.17183,0.026571,0.374797,0,-0.000011,0.000015
539,26.662807,0,-23.687553,0,0,28,-95,25.083323,31.250232,105.859205,-36.64683,-18.674466,4.747026,-0.117124,0.073357,0.405865,-0.119941,0.077176,0.392455,0.002817,-0.003819,0.01341
540,21.303711,0,-29.046648,0,0,28,-95,25.223068,27.980202,105.013819,-1.182233,-15.113708,6.423608,-0.12049,0.089392,0.396276,-0.120601,0.089516,0.395725,0.000111,-0.000124,0.000551
541,16.770111,0,-33.580248,0,0,28,-90.55854,25.611265,18.896392,101.663859,-2.157057,0,-11.669778,-0.126272,0.102386,0.384642,-0.126284,0.102393,0.384633,0.000012,-0.000007,0.000009
542,13.057453,0,-37.292907,0,0,28,-85.83537,25.802326,14.425559,104.212733,-2.284641,0,-13.072499,-0.129587,0.112638,0.374883,-0.129648,0.112645,0.374846,0.000061,-0.000006,0.000037
