,h1,h2,h3,a1,a2,a3,f1,f2,f3,x1,x2,x3
65,-0.204793,0.112831,0.23904299999999998,-0.216556,0.115416,0.171568,-0.197798,0.11734,0.220485,-0.222868,0.118309,0.226544
66,-0.241601,-0.029349,0.225859,-0.2282,0.005619,0.233931,-0.251238,-0.014825,0.234139,-0.251237,-0.014823,0.234138
67,-0.078528,0.151124,0.376362,-0.119696,0.16023900000000002,0.34892199999999995,-0.056205,0.13635,0.374972,-0.058507,0.148622,0.369839
68,-0.180623,0.103744,0.35281399999999996,-0.175876,0.07824500000000001,0.32616300000000004,-0.206084,0.079737,0.342989,-0.206085,0.079739,0.342988
69,-0.213619,-0.024845,0.24280100000000002,-0.19578399999999999,-0.012086,0.23876599999999998,-0.214311,-0.025708,0.238332,-0.214311,-0.025704,0.23833
70,-0.161369,0.112872,0.314344,-0.181162,0.132421,0.285697,-0.141806,0.102374,0.303552,-0.166665,0.100905,0.327895
71,-0.147992,0.087666,0.311888,-0.170381,0.09752899999999999,0.302977,-0.14843199999999998,0.085577,0.311832,-0.164562,0.082701,0.327836
72,-0.182502,0.055373,0.35068499999999997,-0.200728,0.026414,0.324461,-0.183419,0.001631,0.394745,-0.180613,0.017311,0.369472
73,-0.14569000000000001,0.102806,0.33915700000000004,-0.208077,0.111949,0.241367,-0.190467,0.120087,0.271092,-0.190476,0.120088,0.271094
74,-0.085739,0.104157,0.36154200000000003,-0.121978,0.173536,0.336456,-0.07943,0.11818,0.349489,-0.090746,0.11951,0.378225
75,-0.150582,0.160866,0.32038,-0.12776400000000002,0.175204,0.330383,-0.095226,0.118183,0.338924,-0.114654,0.14260599999999998,0.364559
76,-0.177689,0.108221,0.28370700000000004,-0.18748,0.087413,0.281082,-0.183082,0.092059,0.290291,-0.1917,0.091156,0.29604400000000003
77,-0.084951,0.105111,0.36173299999999997,-0.119584,0.17218599999999998,0.33907800000000005,-0.078859,0.118183,0.34980900000000004,-0.090043,0.119509,0.378499
78,-0.202791,0.091198,0.32779200000000003,-0.187324,0.066209,0.31264699999999995,-0.22105,0.067487,0.322794,-0.22105100000000005,0.06749,0.322793
79,-0.125359,0.11105,0.383432,-0.14954800000000001,0.08000700000000001,0.344395,-0.132441,0.091715,0.386463,-0.132444,0.091716,0.386461
80,-0.13744800000000001,-0.014811000000000001,0.40171599999999996,-0.171779,0.028988,0.333012,-0.15318199999999998,0.025692000000000003,0.393137,-0.153755,0.032893,0.379205
81,-0.085601,0.11794600000000001,0.36943000000000004,-0.11218399999999999,0.171964,0.346109,-0.064965,0.118183,0.356766,-0.081057,0.120922,0.381708
82,-0.100988,0.136826,0.37478,-0.166522,0.155113,0.308372,-0.144898,0.159842,0.348044,-0.14564100000000002,0.16008599999999998,0.347816
83,-0.169939,0.13196300000000002,0.295676,-0.20643000000000003,0.15168199999999998,0.229094,-0.181954,0.159842,0.284762,-0.189452,0.162021,0.289558
84,-0.086164,0.111605,0.363642,-0.129891,0.133877,0.347292,-0.085938,0.119059,0.377271,-0.086852,0.119168,0.379728
85,-0.165796,0.116271,0.358718,-0.172402,0.088476,0.32608000000000004,-0.199015,0.097799,0.340975,-0.199023,0.097805,0.340967
86,-0.093863,0.10264200000000001,0.36049000000000003,-0.131545,0.129723,0.344139,-0.084011,0.10331,0.359738,-0.091291,0.102633,0.378087
87,-0.092253,0.11006099999999999,0.363104,-0.126328,0.130607,0.34786500000000004,-0.071082,0.103311,0.366284,-0.08416699999999999,0.104388,0.380828
88,-0.14794000000000002,0.09261699999999999,0.321297,-0.146067,0.04849,0.32169699999999996,-0.137448,0.05989600000000001,0.344562,-0.13805,0.059657,0.345367
89,-0.19803099999999998,-0.001644,0.26124,-0.163943,-0.013302000000000001,0.256715,-0.190223,-0.012245,0.26024,-0.190224,-0.012243,0.260239
90,-0.183989,-0.0024460000000000003,0.338816,-0.19398800000000002,-6.7e-05,0.301898,-0.182112,-0.022693,0.356518,-0.180856,-0.013656,0.346347
91,-0.183885,-0.050011,0.278123,-0.174709,-0.029604000000000002,0.252998,-0.180565,-0.05823200000000001,0.262509,-0.180565,-0.058228,0.262507
92,-0.208062,-0.004458,0.315287,-0.17937999999999998,-0.006275,0.292427,-0.18608,-0.014174,0.332503,-0.186081,-0.014169,0.3325
93,-0.10338699999999999,0.131771,0.389033,-0.14341099999999998,0.12288800000000001,0.346869,-0.117755,0.133236,0.389076,-0.117761,0.13323800000000002,0.389072
94,-0.21702600000000002,-0.009205,0.25133,-0.190253,-0.006379,0.254141,-0.213682,-0.014173,0.255151,-0.213684,-0.014168,0.255148
95,-0.159075,0.09161799999999999,0.36543400000000004,-0.15881099999999998,0.053062,0.329536,-0.162934,0.06855399999999999,0.364323,-0.162936,0.06855599999999999,0.364321
96,-0.177508,0.12160499999999999,0.292601,-0.202874,0.137508,0.239008,-0.16677,0.119689,0.275083,-0.194459,0.121389,0.29280100000000003
97,-0.233592,-0.019764,0.29632,-0.212098,0.011332,0.295013,-0.223996,-0.016451,0.324062,-0.223996,-0.01645,0.324061
98,-0.20761100000000002,0.037617000000000005,0.28042100000000003,-0.174649,0.016489,0.285473,-0.201813,0.025437,0.287619,-0.201816,0.025442,0.287617
99,-0.14188599999999998,0.11581500000000002,0.381046,-0.156599,0.085992,0.343022,-0.159448,0.096858,0.381299,-0.15945,0.096859,0.381297
100,-0.218745,-0.038426,0.289675,-0.20388699999999998,-0.005635,0.284627,-0.20862600000000006,-0.036165,0.305759,-0.208625,-0.036156,0.305755
101,-0.161939,0.081336,0.342942,-0.158237,0.054539,0.319531,-0.168536,0.06623899999999999,0.334495,-0.168545,0.066247,0.334489
102,-0.228512,-0.0059770000000000005,0.262588,-0.195937,0.002236,0.271927,-0.220533,-0.011815,0.277537,-0.220534,-0.011813,0.277535
103,-0.172254,0.083744,0.288177,-0.16515,0.043695,0.29731199999999997,-0.161626,0.06052100000000001,0.310717,-0.168597,0.058228,0.316977
104,-0.113969,0.13175699999999999,0.354248,-0.167415,0.170228,0.296919,-0.127789,0.168935,0.342143,-0.131221,0.17066099999999998,0.347039
105,-0.11288800000000002,0.112875,0.348976,-0.154186,0.131275,0.323042,-0.125396,0.11681099999999997,0.346154,-0.13234200000000002,0.117217,0.356514
106,-0.14829,0.12427,0.330251,-0.1765,0.12823900000000002,0.295443,-0.149187,0.11681099999999997,0.317202,-0.163139,0.117487,0.331512
