,Unnamed: 0,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
404,454,-8.486574000000001,16.886016,23,-95.0,23.341082999999998,72.018644,85.329391,1.809003,-16.207342999999998,6.493581,-0.21703499999999998,-0.04343,0.32071,0.002604,0.007725,0.00617,8,115,356,8,117,357.0
405,455,-12.622162,-24.389924,23,-95.0,23.341082999999998,72.018644,85.329391,1.809003,-16.207342999999998,6.493581,-0.21703499999999998,-0.04343,0.32071,0.002604,0.007725,0.00617,197,99,329,197,96,340.0
406,456,7.661557000000001,24.60114,23,-91.259449,23.919373999999998,58.486631,80.267186,-0.41085299999999997,0.0,-2.145607,-0.227981,-0.012367,0.321815,0.0,1e-06,1e-06,21,187,475,24,187,442.0
407,457,-5.237389,-11.089978,23,-91.259449,23.919373999999998,58.486631,80.267186,-0.41085299999999997,0.0,-2.145607,-0.227981,-0.012367,0.321815,0.0,1e-06,1e-06,186,126,285,187,126,288.0
408,458,-16.209312,27.1501,23,-91.259449,23.919373999999998,58.486631,80.267186,-0.41085299999999997,0.0,-2.145607,-0.227981,-0.012367,0.321815,0.0,1e-06,1e-06,9,72,397,9,76,414.0
409,459,-19.567618,-28.254046999999996,23,-91.259449,23.919373999999998,58.486631,80.267186,-0.41085299999999997,0.0,-2.145607,-0.227981,-0.012367,0.321815,0.0,1e-06,1e-06,270,62,406,271,55,406.0
410,460,-0.18491400000000002,21.09424,23,-69.146562,25.143762,29.835965,96.704583,-1.8453389999999998,0.0,-11.516338000000001,-0.21197800000000003,0.04879,0.31069,1e-06,2e-06,2e-06,143,165,378,144,159,341.0
411,461,-9.191353,-9.225264,23,-69.146562,25.143762,29.835965,96.704583,-1.8453389999999998,0.0,-11.516338000000001,-0.21197800000000003,0.04879,0.31069,1e-06,2e-06,2e-06,281,131,498,281,129,446.0
412,462,-13.063394,24.014886999999998,23,-69.146562,25.143762,29.835965,96.704583,-1.8453389999999998,0.0,-11.516338000000001,-0.21197800000000003,0.04879,0.31069,1e-06,2e-06,2e-06,132,112,366,132,113,343.0
413,465,9.374297,-26.651609000000004,23,-94.999997,23.647823000000002,64.840998,86.732435,-27.926408000000002,-18.907417000000002,4.8287629999999995,-0.21483200000000002,-0.046616000000000005,0.362767,0.008531,0.027009,0.027429000000000002,202,122,340,202,124,348.0
414,466,-3.9528879999999997,5.955975,23,-94.999997,23.647823000000002,64.840998,86.732435,-27.926408000000002,-18.907417000000002,4.8287629999999995,-0.21483200000000002,-0.046616000000000005,0.362767,0.008531,0.027009,0.027429000000000002,56,67,424,59,61,440.0
415,467,-10.559515,-29.900875,23,-94.999997,23.647823000000002,64.840998,86.732435,-27.926408000000002,-18.907417000000002,4.8287629999999995,-0.21483200000000002,-0.046616000000000005,0.362767,0.008531,0.027009,0.027429000000000002,213,42,390,216,30,429.0
416,468,9.629318,28.703709000000003,24,-68.194187,25.179713,28.994704,99.736974,-2.152997,0.0,-11.971487,-0.20335699999999998,0.049586,0.310915,2e-06,3e-06,2e-06,115,217,527,119,201,435.0
417,469,-11.720343,14.255997,24,-68.194187,25.179713,28.994704,99.736974,-2.152997,0.0,-11.971487,-0.20335699999999998,0.049586,0.310915,2e-06,3e-06,2e-06,174,125,414,174,123,377.0
418,470,-15.128047,21.220295,24,-68.194187,25.179713,28.994704,99.736974,-2.152997,0.0,-11.971487,-0.20335699999999998,0.049586,0.310915,2e-06,3e-06,2e-06,150,108,414,150,109,372.0
419,472,-3.5593199999999996,27.670456,24,-90.584696,23.996526,56.681281999999996,82.334184,-0.7169220000000001,0.0,-2.873795,-0.22136399999999998,-0.010316,0.324944,1e-06,3e-06,2e-06,10,129,433,10,131,435.0
420,473,-1.408872,-13.532171,24,-90.584696,23.996526,56.681281999999996,82.334184,-0.7169220000000001,0.0,-2.873795,-0.22136399999999998,-0.010316,0.324944,1e-06,3e-06,2e-06,199,137,325,200,138,326.0
421,474,-13.081930999999999,12.232277,24,-90.584696,23.996526,56.681281999999996,82.334184,-0.7169220000000001,0.0,-2.873795,-0.22136399999999998,-0.010316,0.324944,1e-06,3e-06,2e-06,90,87,348,91,87,359.0
422,475,-14.832142000000001,-17.893401,24,-90.584696,23.996526,56.681281999999996,82.334184,-0.7169220000000001,0.0,-2.873795,-0.22136399999999998,-0.010316,0.324944,1e-06,3e-06,2e-06,220,79,358,221,77,353.0
423,476,9.297557000000001,-1.018161,24,-95.0,23.79486,61.400256999999996,83.40955799999999,40.000945,-11.693987,6.029342,-0.2202,-0.017521000000000002,0.356033,0.00443,0.010531,0.012284,140,132,324,141,132,321.0
424,477,9.828327999999999,-23.303404,24,-95.0,23.79486,61.400256999999996,83.40955799999999,40.000945,-11.693987,6.029342,-0.2202,-0.017521000000000002,0.356033,0.00443,0.010531,0.012284,234,136,372,235,138,341.0
425,479,-14.75968,-14.639826000000001,24,-95.0,23.79486,61.400256999999996,83.40955799999999,40.000945,-11.693987,6.029342,-0.2202,-0.017521000000000002,0.356033,0.00443,0.010531,0.012284,189,29,393,195,23,384.0
426,480,8.027796,2.74634,24,-80.744173,24.30359,49.495985,88.62276,-1.266265,0.0,-5.76952,-0.219271,-0.0020510000000000003,0.307532,0.0,4e-06,2e-06,141,206,404,147,206,405.0
427,481,-4.301553,-26.866527,24,-80.744173,24.30359,49.495985,88.62276,-1.266265,0.0,-5.76952,-0.219271,-0.0020510000000000003,0.307532,0.0,4e-06,2e-06,279,159,470,281,158,467.0
428,482,-19.686189000000002,18.754594,24,-80.744173,24.30359,49.495985,88.62276,-1.266265,0.0,-5.76952,-0.219271,-0.0020510000000000003,0.307532,0.0,4e-06,2e-06,72,85,408,73,86,406.0
429,483,-19.397872,-13.189734,24,-80.744173,24.30359,49.495985,88.62276,-1.266265,0.0,-5.76952,-0.219271,-0.0020510000000000003,0.307532,0.0,4e-06,2e-06,211,86,373,212,85,362.0
430,484,-6.0531559999999995,24.165382,24,-81.957431,24.230048999999998,51.216839,88.028378,-0.790024,0.0,-5.428185,-0.21909499999999998,-0.005850999999999999,0.307569,0.0,2e-06,2e-06,37,146,469,38,148,471.0
431,485,8.741613000000001,-7.5457399999999994,24,-81.957431,24.230048999999998,51.216839,88.028378,-0.790024,0.0,-5.428185,-0.21909499999999998,-0.005850999999999999,0.307569,0.0,2e-06,2e-06,176,211,415,183,213,409.0
432,486,-18.988196,11.009595,24,-81.957431,24.230048999999998,51.216839,88.028378,-0.790024,0.0,-5.428185,-0.21909499999999998,-0.005850999999999999,0.307569,0.0,2e-06,2e-06,102,92,369,103,92,377.0
433,487,-17.190065,-28.712087,24,-81.957431,24.230048999999998,51.216839,88.028378,-0.790024,0.0,-5.428185,-0.21909499999999998,-0.005850999999999999,0.307569,0.0,2e-06,2e-06,284,99,463,284,94,471.0
434,488,4.019814,6.216059,24,-95.0,23.230183,74.61371,90.007787,-4.871637000000001,-17.004373,6.230525,-0.20113499999999998,-0.052528,0.311388,0.001517,0.006726,0.004765,35,185,553,38,196,635.0
435,489,1.264736,-21.961871,24,-95.0,23.230183,74.61371,90.007787,-4.871637000000001,-17.004373,6.230525,-0.20113499999999998,-0.052528,0.311388,0.001517,0.006726,0.004765,163,170,393,165,179,465.0
436,490,-15.001199,-6.549199,24,-95.0,23.230183,74.61371,90.007787,-4.871637000000001,-17.004373,6.230525,-0.20113499999999998,-0.052528,0.311388,0.001517,0.006726,0.004765,104,110,397,104,109,454.0
437,491,-16.483579000000002,-19.740704,24,-95.0,23.230183,74.61371,90.007787,-4.871637000000001,-17.004373,6.230525,-0.20113499999999998,-0.052528,0.311388,0.001517,0.006726,0.004765,156,102,366,155,100,422.0
438,492,-4.546494999999999,28.216894,24,-69.693659,25.362668,24.713545,101.596522,-2.715246,0.0,-13.298851999999998,-0.191217,0.064488,0.323408,7.000000000000001e-06,6e-06,5e-06,149,129,480,149,127,378.0
