,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
64,-0.652301,28.016178,17,-73.064883,25.543459,20.486236,84.47907,-1.648171,-0.061336,-8.149361,-0.243255,0.09299,0.325822,0.000087,0.000319,0.000475,154,132,239,154,130,197
66,-5.730282,27.90017,17,-73.064883,25.543459,20.486236,84.47907,-1.648171,-0.061336,-8.149361,-0.243255,0.09299,0.325822,0.000087,0.000319,0.000475,158,115,249,157,116,196
67,-11.977493,-5.045026,17,-73.064883,25.543459,20.486236,84.47907,-1.648171,-0.061336,-8.149361,-0.243255,0.09299,0.325822,0.000087,0.000319,0.000475,310,84,301,311,88,248
68,5.853773,28.27751,17,-83.3616,24.531433,44.164451,68.218228,-0.186385,0,-0.968319,-0.281408,0.037659,0.306587,0.000001,0.000001,0,76,186,207,78,182,217
70,-18.720903,13.791675,17,-83.3616,24.531433,44.164451,68.218228,-0.186385,0,-0.968319,-0.281408,0.037659,0.306587,0.000001,0.000001,0,144,76,168,145,78,175
71,-12.347579,-17.852674,17,-83.3616,24.531433,44.164451,68.218228,-0.186385,0,-0.968319,-0.281408,0.037659,0.306587,0.000001,0.000001,0,287,102,225,287,101,238
72,-9.117286,27.72172,17,-65.95672,25.629656,18.466038,89.473253,-2.119851,0,-10.142265,-0.241582,0.092244,0.30642,0,0.000001,0.000002,155,122,263,154,122,207
73,2.298223,24.744358,17,-65.95672,25.629656,18.466038,89.473253,-2.119851,0,-10.142265,-0.241582,0.092244,0.30642,0,0.000001,0.000002,167,172,268,168,164,222
74,-15.775791,29.580316,17,-65.95672,25.629656,18.466038,89.473253,-2.119851,0,-10.142265,-0.241582,0.092244,0.30642,0,0.000001,0.000002,145,102,260,145,104,202
75,-15.685886,26.087703,17,-65.95672,25.629656,18.466038,89.473253,-2.119851,0,-10.142265,-0.241582,0.092244,0.30642,0,0.000001,0.000002,156,99,262,155,102,211
