I0,I1,I2,O0,O1,O2,O3,O4,O5,O6,FX,FY,FZ,E1,E2,E3,I3,I4,I5,I6,I7,I8
7.381472,13.68727,34,-87.213593,24.656358,41.241209,97.015506,-1.232375,0,-8.55053,-0.168897,0.023271,0.351293,0.000003,0.000007,0.000006,152,123,705,152,122,653
7.233308,-7.662051,34,-87.213593,24.656358,41.241209,97.015506,-1.232375,0,-8.55053,-0.168897,0.023271,0.351293,0.000003,0.000007,0.000006,242,125,788,243,125,765
6.442313,17.941289,34,-87.213593,24.656358,41.241209,97.015506,-1.232375,0,-8.55053,-0.168897,0.023271,0.351293,0.000003,0.000007,0.000006,133,122,714,133,121,665
-0.050559,10.045151,34,-87.213593,24.656358,41.241209,97.015506,-1.232375,0,-8.55053,-0.168897,0.023271,0.351293,0.000003,0.000007,0.000006,159,96,698,161,99,654
0.000822,-22.749448,34,-95,23.755994,62.309721,96.718625,2.12122,-13.824723,5.423175,-0.169886,-0.022085,0.33962,0.00004,0.000093,0.000129,210,121,656,211,122,687
-0.402328,19.932399,34,-95,23.755994,62.309721,96.718625,2.12122,-13.824723,5.423175,-0.169886,-0.022085,0.33962,0.00004,0.000093,0.000129,15,119,794,14,120,893
-18.388733,-17.290224,34,-95,23.755994,62.309721,96.718625,2.12122,-13.824723,5.423175,-0.169886,-0.022085,0.33962,0.00004,0.000093,0.000129,181,48,712,187,38,774
3.343405,12.729475,30,-91.605682,24.025074,56.013264,90.789003,-0.725171,0,-4.758947,-0.187821,-0.014826,0.332594,0.000001,0.000006,0.000004,74,149,597,75,150,565
2.129233,-9.802023,30,-91.605682,24.025074,56.013264,90.789003,-0.725171,0,-4.758947,-0.187821,-0.014826,0.332594,0.000001,0.000006,0.000004,169,144,509,171,145,523
-11.01184,-1.290214,30,-91.605682,24.025074,56.013264,90.789003,-0.725171,0,-4.758947,-0.187821,-0.014826,0.332594,0.000001,0.000006,0.000004,138,92,514,140,91,511
-3.649482,-24.836029,30,-91.605682,24.025074,56.013264,90.789003,-0.725171,0,-4.758947,-0.187821,-0.014826,0.332594,0.000001,0.000006,0.000004,241,119,565,241,118,569
6.887029,27.312716,30,-78.737279,25.10723,30.690796,102.255539,-2.328519,0,-12.117579,-0.167778,0.050009,0.343054,0.000008,0.000008,0.000006,146,139,706,145,134,540
-2.992376,24.899882,30,-78.737279,25.10723,30.690796,102.255539,-2.328519,0,-12.117579,-0.167778,0.050009,0.343054,0.000008,0.000008,0.000006,158,100,686,158,104,524
-16.732173,16.677848,30,-78.737279,25.10723,30.690796,102.255539,-2.328519,0,-12.117579,-0.167778,0.050009,0.343054,0.000008,0.000008,0.000006,191,39,823,193,56,592
-15.750862,22.728836,30,-72.978471,24.863976,36.382957,103.013257,-1.712602,0,-11.815484,-0.181577,0.026778,0.315547,0.000002,0.000003,0.000001,112,101,604,113,104,576
-10.212257,-10.235685,30,-72.978471,24.863976,36.382957,103.013257,-1.712602,0,-11.815484,-0.181577,0.026778,0.315547,0.000002,0.000003,0.000001,257,127,685,258,126,664
-18.77561,26.475542,30,-72.978471,24.863976,36.382957,103.013257,-1.712602,0,-11.815484,-0.181577,0.026778,0.315547,0.000002,0.000003,0.000001,95,88,630,95,95,605
-18.379121,-11.02995,30,-72.978471,24.863976,36.382957,103.013257,-1.712602,0,-11.815484,-0.181577,0.026778,0.315547,0.000002,0.000003,0.000001,261,89,712,263,91,679
